codigo	descriptor completo	descriptor corto		
8263/6	"Adenocarcinoma en adenoma tubulovelloso, metástasis"	"AdenoCa. en adenoma tubulovelloso, metástasis"		
8264/0	Papilomatosis glandular	Papilomatosis glandular		
8265/3	"Carcinoma micropapilar, SAI"	"Ca. micropapilar, SAI"		
8265/6	"Carcinoma micropapilar, SAI, metástasis"	"Ca. micropapilar, SAI, metástasis"		
8270/0	Adenoma cromófobo	Adenoma cromófobo		
8270/3	Carcinoma cromófobo	Ca. cromófobo		
8270/6	"Carcinoma cromófobo, metástasis"	"Ca. cromófobo, metástasis"		
8271/0	Prolactinoma	Prolactinoma		
8272/0	"Adenoma hipofisario, SAI"	"Adenoma hipofisario, SAI"		
8272/3	"Carcinoma hipofisario, SAI"	"Ca. hipofisario, SAI"		
8272/6	"Carcinoma hipofisario, SAI, metástasis"	"Ca. hipofisario, SAI, metástasis"		
8280/0	Adenoma acidófilo	Adenoma acidófilo		
8280/3	Carcinoma acidófilo	Ca. acidófilo		
8280/6	"Carcinoma acidófilo, metástasis"	"Ca. acidófilo, metástasis"		
8281/0	"Adenoma mixto, acidófilo y basófilo"	"Adenoma mixto, acidófilo y basófilo"		
8281/3	"Carcinoma mixto, acidófilo y basófilo"	"Ca. mixto, acidófilo y basófilo"		
8281/6	"Carcinoma mixto, acidófilo y basófilo, metástasis"	"Ca. mixto, acidófilo y basófilo, metástasis"		
8290/0	Adenoma oxífilo	Adenoma oxífilo		
8290/3	Adenocarcinoma oxífilo	AdenoCa. oxífilo		
8290/6	"Adenocarcinoma oxífilo, metástasis"	"AdenoCa. oxífilo, metástasis"		
8300/0	Adenoma basófilo	Adenoma basófilo		
8300/3	Carcinoma basófilo	Ca. basófilo		
8300/6	"Carcinoma basófilo, metástasis"	"Ca. basófilo, metástasis"		
8310/0	Adenoma de células claras	"Adenoma, cél. claras"		
8310/3	"Adenocarcinoma de células claras, SAI"	"Adenocarcinoma, cél. claras, SAI"		
8310/6	"Adenocarcinoma de células claras, SAI, metástasis"	"Adenocarcinoma, cél. claras, SAI, metástasis"		
8311/1	Tumor hipernefroide	Tum. hipernefroide		
8312/3	"Carcinoma de células renales, SAI"	"Carcinoma, cél. renales, SAI"		
8312/6	"Carcinoma de células renales, SAI, metástasis"	"Carcinoma, cél. renales, SAI, metástasis"		
8313/0	Adenofibroma de células claras 	"Adenofibroma, cél. claras "		
8313/1	Adenofibroma de células claras de malignidad borderline	"Adenofibroma, cél. claras, malignidad borderline"		
8313/3	Adenocarcinofibroma de células claras	"Adenocarcinofibroma, cél. claras"		
8313/6	"Adenocarcinofibroma de células claras, metástasis"	"Adenocarcinofibroma, cél. claras, metástasis"		
8314/3	Carcinoma rico en lípidos	Ca. rico en lípidos		
8314/6	"Carcinoma rico en lípidos, metástasis"	"Ca. rico en lípidos, metástasis"		
8315/3	Carcinoma rico en glucógeno	Ca. rico en glucógeno		
8315/6	"Carcinoma rico en glucógeno, metástasis"	"Ca. rico en glucógeno, metástasis"		
8316/3	Carcinoma de células renales asociado a quiste	"Carcinoma, cél. renales asociado a quiste"		
8316/6	"Carcinoma de células renales asociado a quiste, metástasis"	"Carcinoma, cél. renales asociado a quiste, metástasis"		
8317/3	Carcinoma de células renales tipo cromófobo	"Carcinoma, cél. renales tipo cromófobo"		
8317/6	"Carcinoma de células renales tipo cromófobo, metástasis"	"Carcinoma, cél. renales tipo cromófobo, metástasis"		
8318/3	Carcinoma de células renales sarcomatoide	"Carcinoma, cél. renales sarcomatoide"		
8318/6	"Carcinoma de células renales sarcomatoide, metástasis"	"Carcinoma, cél. renales sarcomatoide, metástasis"		
8319/3	Carcinoma de túbulos colectores	"Carcinoma, túbulos colectores"		
8319/6	"Carcinoma de túbulos colectores, metástasis"	"Carcinoma, túbulos colectores, metástasis"		
8320/3	Carcinoma de células granulares	"Carcinoma, cél. granulares"		
8320/6	"Carcinoma de células granulares, metástasis"	"Carcinoma, cél. granulares, metástasis"		
8321/0	Adenoma de células principales	"Adenoma, cél. principales"		
8322/0	Adenoma de células claroacuosas	"Adenoma, cél. claroacuosas"		
8322/3	Adenocarcinoma de células claroacuosas	"Adenocarcinoma, cél. claroacuosas"		
8322/6	"Adenocarcinoma de células claroacuosas, metástasis"	"Adenocarcinoma, cél. claroacuosas, metástasis"		
8323/0	Adenoma de células mixtas	"Adenoma, cél. mixtas"		
8323/3	Adenocarcinoma de células mixtas	"Adenocarcinoma, cél. mixtas"		
8323/6	"Adenocarcinoma de células mixtas, metástasis"	"Adenocarcinoma, cél. mixtas, metástasis"		
8324/0	Lipoadenoma	Lipoadenoma		
8325/0	Adenoma metanéfrico	Adenoma metanéfrico		
8330/0	Adenoma folicular	Adenoma folicular		
8330/1	Adenoma folicular atípico	Adenoma folicular atípico		
8330/3	"Adenocarcinoma folicular, SAI"	"AdenoCa. folicular, SAI"		
8330/6	"Adenocarcinoma folicular, SAI, metástasis"	"AdenoCa. folicular, SAI, metástasis"		
8331/3	Adenocarcinoma folicular bien diferenciado	AdenoCa. folicular bien diferenciado		
8331/6	"Adenocarcinoma folicular bien diferenciado, metástasis"	"AdenoCa. folicular bien diferenciado, metástasis"		
8332/3	"Adenocarcinoma folicular, tipo trabecular"	"AdenoCa. folicular, tipo trabecular"		
8332/6	"Adenocarcinoma folicular, tipo trabecular, metástasis"	"AdenoCa. folicular, tipo trabecular, metástasis"		
8333/0	"Adenoma microfolicular, SAI"	"Adenoma microfolicular, SAI"		
8333/3	Adenocarcinoma fetal	AdenoCa. fetal		
8333/6	"Adenocarcinoma fetal, metástasis"	"AdenoCa. fetal, metástasis"		
8334/0	Adenoma macrofolicular	Adenoma macrofolicular		
8335/3	Carcinoma folicular mínimamente invasivo	Ca. folicular mínimamente invasivo		
8335/6	"Carcinoma folicular mínimamente invasivo, metástasis"	"Ca. folicular mínimamente invasivo, metástasis"		
8336/0	Adenoma trabecular hialinizante	Adenoma trabecular hialinizante		
8337/3	Carcinoma insular	Ca. insular		
8337/6	"Carcinoma insular, metástasis"	"Ca. insular, metástasis"		
8340/3	"Carcinoma papilar, variante folicular"	"Ca. papilar, variante folicular"		
8340/6	"Carcinoma papilar, variante folicular, metástasis"	"Ca. papilar, variante folicular, metástasis"		
8341/3	Microcarcinoma papilar	MicroCa. papilar		
8341/6	"Microcarcinoma papilar, metástasis"	"MicroCa. papilar, metástasis"		
8342/3	Carcinoma papilar de células oxífilas	"Ca. papilar, cél. oxífilas"		
8342/6	"Carcinoma papilar de células oxífilas, metástasis"	"Ca. papilar, cél. oxífilas, metástasis"		
8343/3	Carcinoma papilar encapsulado	Ca. papilar encapsulado		
8343/6	"Carcinoma papilar encapsulado, metástasis"	"Ca. papilar encapsulado, metástasis"		
8344/3	Carcinoma papilar de células columnares	"Ca. papilar, cél. columnares"		
8344/6	"Carcinoma papilar de células columnares, metástasis"	"Ca. papilar, cél. columnares, metástasis"		
8345/3	Carcinoma medular con estroma amiloide	Ca. medular con estroma amiloide		
8345/6	"Carcinoma medular con estroma amiloide, metástasis"	"Ca. medular con estroma amiloide, metástasis"		
8346/3	Carcinoma mixto medular-folicular	Ca. mixto medular-folicular		
8346/6	"Carcinoma mixto medular-folicular, metástasis"	"Ca. mixto medular-folicular, metástasis"		
8347/3	Carcinoma mixto medular-papilar	Ca. mixto medular-papilar		
8347/6	"Carcinoma mixto medular-papilar, metástasis"	"Ca. mixto medular-papilar, metástasis"		
8350/3	Carcinoma esclerosante no encapsulado	Ca. esclerosante no encapsulado		
8350/6	"Carcinoma esclerosante no encapsulado, metástasis"	"Ca. esclerosante no encapsulado, metástasis"		
8360/1	Adenomas endocrinos múltiples	Adenomas endocrinos múltiples		
8361/0	Tumor yuxtaglomerular	Tum. yuxtaglomerular		
8370/0	"Adenoma de la corteza suprarrenal, SAI"	"Adenoma, la corteza suprarrenal, SAI"		
8370/3	Carcinoma de la corteza suprarrenal	"Carcinoma, la corteza suprarrenal"		
8370/6	"Carcinoma de la corteza suprarrenal, metástasis"	"Carcinoma, la corteza suprarrenal, metástasis"		
8371/0	Adenoma de la corteza suprarrenal de células compactas	"Adenoma, la corteza suprarrenal, cél. compactas"		
8372/0	"Adenoma de la corteza suprarrenal, pigmentado"	"Adenoma, la corteza suprarrenal, pigmentado"		
8373/0	Adenoma de la corteza suprarrenal de células claras	"Adenoma, la corteza suprarrenal, cél. claras"		
8374/0	Adenoma de la corteza suprarrenal de células de la glomerulosa	"Adenoma, la corteza suprarrenal, cél., la glomerulosa"		
8375/0	Adenoma de la corteza suprarrenal de tipo celular mixto	"Adenoma, la corteza suprarrenal, tipo celular mixto"		
8380/0	"Adenoma endometrioide, SAI"	"Adenoma endometrioide, SAI"		
8380/1	Adenoma endometrioide de malignidad borderline	"Adenoma endometrioide, malignidad borderline"		
8380/3	"Adenocarcinoma endometrioide, SAI"	"AdenoCa. endometrioide, SAI"		
8380/6	"Adenocarcinoma endometrioide, SAI, metástasis"	"AdenoCa. endometrioide, SAI, metástasis"		
8381/0	"Adenofibroma endometrioide, SAI"	"Adenofibroma endometrioide, SAI"		
8381/1	Adenofibroma endometrioide de malignidad borderline	"Adenofibroma endometrioide, malignidad borderline"		
8381/3	Adenofibroma endometrioide maligno	Adenofibroma endometrioide maligno		
8381/6	"Adenofibroma endometrioide maligno, metástasis"	"Adenofibroma endometrioide maligno, metástasis"		
8382/3	"Adenocarcinoma endometrioide, variante secretora"	"AdenoCa. endometrioide, variante secretora"		
8382/6	"Adenocarcinoma endometrioide, variante secretora, metástasis"	"AdenoCa. endometrioide, variante secretora, metástasis"		
8383/3	"Adenocarcinoma endometrioide, variante de células ciliadas"	"AdenoCa. endometrioide, variante, cél. ciliadas"		
8383/6	"Adenocarcinoma endometrioide, variante de células ciliadas, metástasis"	"AdenoCa. endometrioide, variante, cél. ciliadas, metástasis"		
8384/3	"Adenocarcinoma, tipo endocervical"	"Adenocarcinoma, tipo endocervical"		
8384/6	"Adenocarcinoma, tipo endocervical, metástasis"	"Adenocarcinoma, tipo endocervical, metástasis"		
8390/0	Adenoma de los anexos cutáneos	"Adenoma, los anexos cutáneos"		
8390/3	Carcinoma de los anexos cutáneos	"Carcinoma, los anexos cutáneos"		
8390/6	"Carcinoma de los anexos cutáneos, metástasis"	"Carcinoma, los anexos cutáneos, metástasis"		
8391/0	Fibroma folicular	Fibroma folicular		
8392/0	Siringofibroadenoma	Siringofibroadenoma		
8400/0	Adenoma de las glándulas sudoríparas	"Adenoma, las glándulas sudoríparas"		
8400/1	"Tumor de las glándulas sudoríparas, SAI"	"Tumor, las glándulas sudoríparas, SAI"		
8400/3	Adenocarcinoma de las glándulas sudoríparas	"Adenocarcinoma, las glándulas sudoríparas"		
8400/6	"Adenocarcinoma de las glándulas sudoríparas, metástasis"	"Adenocarcinoma, las glándulas sudoríparas, metástasis"		
8401/0	Adenoma apocrino	Adenoma apocrino		
8401/3	Adenocarcinoma apocrino	AdenoCa. apocrino		
8401/6	"Adenocarcinoma apocrino, metástasis"	"AdenoCa. apocrino, metástasis"		
8402/0	Hidradenoma nodular	Hidradenoma nodular		
8402/3	Hidradenoma nodular maligno	Hidradenoma nodular maligno		
8402/6	"Hidradenoma nodular maligno, metástasis"	"Hidradenoma nodular maligno, metástasis"		
8403/0	Espiradenoma ecrino	Espiradenoma ecrino		
8403/3	Espiradenoma ecrino maligno	Espiradenoma ecrino maligno		
8403/6	"Espiradenoma ecrino maligno, metástasis"	"Espiradenoma ecrino maligno, metástasis"		
8404/0	Hidrocistoma	Hidrocistoma		
8405/0	Hidradenoma papilar	Hidradenoma papilar		
8406/0	Siringoadenoma papilar	Siringoadenoma papilar		
8407/0	"Siringoma, SAI"	"Siringoma, SAI"		
8407/3	Carcinoma esclerosante de conductos sudoríparos	"Ca. esclerosante, conductos sudoríparos"		
8407/6	"Carcinoma esclerosante de conductos sudoríparos, metástasis"	"Ca. esclerosante, conductos sudoríparos, metástasis"		
8408/0	Adenoma papilar ecrino	Adenoma papilar ecrino		
8408/1	Adenoma papilar digital agresivo	Adenoma papilar digital agresivo		
8408/3	Adenocarcinoma papilar ecrino	AdenoCa. papilar ecrino		
8408/6	"Adenocarcinoma papilar ecrino, metástasis"	"AdenoCa. papilar ecrino, metástasis"		
8409/0	Poroma ecrino	Poroma ecrino		
8409/3	Poroma ecrino maligno	Poroma ecrino maligno		
8409/6	"Poroma ecrino maligno, metástasis"	"Poroma ecrino maligno, metástasis"		
8410/0	Adenoma sebáceo	Adenoma sebáceo		
8410/3	Adenocarcinoma sebáceo	AdenoCa. sebáceo		
8410/6	"Adenocarcinoma sebáceo, metástasis"	"AdenoCa. sebáceo, metástasis"		
8413/3	Adenocarcinoma ecrino	AdenoCa. ecrino		
8413/6	"Adenocarcinoma ecrino, metástasis"	"AdenoCa. ecrino, metástasis"		
8420/0	Adenoma ceruminoso	Adenoma ceruminoso		
8420/3	Adenocarcinoma ceruminoso	AdenoCa. ceruminoso		
8420/6	"Adenocarcinoma ceruminoso, metástasis"	"AdenoCa. ceruminoso, metástasis"		
8430/1	Tumor mucoepidermoide	Tum. mucoepidermoide		
8430/3	Carcinoma mucoepidermoide	Ca. mucoepidermoide		
8430/6	"Carcinoma mucoepidermoide, metástasis"	"Ca. mucoepidermoide, metástasis"		
8440/0	"Cistadenoma, SAI"	"Cistadenoma, SAI"		
8440/3	"Cistadenocarcinoma, SAI"	"Cistadenocarcinoma, SAI"		
8440/6	"Cistadenocarcinoma, SAI, metástasis"	"Cistadenocarcinoma, SAI, metástasis"		
8441/0	"Cistadenoma seroso, SAI"	"Cistadenoma seroso, SAI"		
8441/3	"Cistadenocarcinoma seroso, SAI"	"CistadenoCa. seroso, SAI"		
8441/6	"Cistadenocarcinoma seroso, SAI, metástasis"	"CistadenoCa. seroso, SAI, metástasis"		
8442/1	Cistadenoma seroso de malignidad borderline	"Cistadenoma seroso, malignidad borderline"		
8443/0	Cistadenoma de células claras	"Cistadenoma, cél. claras"		
8444/1	Tumor quístico de células claras de malignidad borderline	"Tum. quístico, cél. claras, malignidad borderline"		
8450/0	"Cistadenoma papilar, SAI"	"Cistadenoma papilar, SAI"		
8450/3	"Cistadenocarcinoma papilar, SAI"	"CistadenoCa. papilar, SAI"		
8450/6	"Cistadenocarcinoma papilar, SAI, metástasis"	"CistadenoCa. papilar, SAI, metástasis"		
8451/1	Cistadenoma papilar de malignidad borderline	"Cistadenoma papilar, malignidad borderline"		
8452/1	Tumor seudopapilar sólido	Tum. seudopapilar sólido		
8452/3	Carcinoma seudopapilar sólido	Ca. seudopapilar sólido		
8452/6	"Carcinoma seudopapilar sólido, metástasis"	"Ca. seudopapilar sólido, metástasis"		
8453/0	Adenoma intraductal papilar-mucinoso	Adenoma intraductal papilar-mucinoso		
8453/2	Adenoma intraductal papilar-mucinoso no invasivo	Adenoma intraductal papilar-mucinoso no invasivo		
8453/3	Adenoma intraductal papilar-mucinoso invasivo	Adenoma intraductal papilar-mucinoso invasivo		
8453/6	"Adenoma intraductal papilar-mucinoso invasivo, metástasis"	"Adenoma intraductal papilar-mucinoso invasivo, metástasis"		
8454/0	Tumor quístico del nodo auriculoventricular	"Tum. quístico, nodo auriculoventricular"		
8460/0	"Cistadenoma seroso papilar, SAI"	"Cistadenoma seroso papilar, SAI"		
8460/3	Cistadenocarcinoma seroso papilar	CistadenoCa. seroso papilar		
8460/6	"Cistadenocarcinoma seroso papilar, metástasis"	"CistadenoCa. seroso papilar, metástasis"		
8461/0	Papiloma de superficie serosa	"Papiloma, superficie serosa"		
8461/3	Carcinoma papilar de superficie serosa	"Ca. papilar, superficie serosa"		
8461/6	"Carcinoma papilar de superficie serosa, metástasis"	"Ca. papilar, superficie serosa, metástasis"		
8462/1	Tumor quístico papilar seroso de malignidad borderline	"Tum. quístico papilar seroso, malignidad borderline"		
8463/1	Tumor papilar de superficie serosa de malignidad borderline	"Tum. papilar, superficie serosa, malignidad borderline"		
8470/0	"Cistadenoma mucinoso, SAI"	"Cistadenoma mucinoso, SAI"		
8470/2	Cistadenocarcinoma mucinoso no invasivo	CistadenoCa. mucinoso no invasivo		
8470/3	"Cistadenocarcinoma mucinoso, SAI"	"CistadenoCa. mucinoso, SAI"		
8470/6	"Cistadenocarcinoma mucinoso, SAI, metástasis"	"CistadenoCa. mucinoso, SAI, metástasis"		
8471/0	"Cistadenoma mucinoso papilar, SAI"	"Cistadenoma mucinoso papilar, SAI"		
8471/3	Cistadenocarcinoma mucinoso papilar	CistadenoCa. mucinoso papilar		
8471/6	"Cistadenocarcinoma mucinoso papilar, metástasis"	"CistadenoCa. mucinoso papilar, metástasis"		
8472/1	Tumor quístico mucinoso de malignidad borderline	"Tum. quístico mucinoso, malignidad borderline"		
8473/1	Cistadenoma mucinoso papilar de malignidad borderline	"Cistadenoma mucinoso papilar, malignidad borderline"		
8480/0	Adenoma mucinoso	Adenoma mucinoso		
8480/1	Neoplasia mucinosa apendicular de bajo grado	"Neoplasia mucinosa apendicular, bajo grado"		
8480/3	Adenocarcinoma mucinoso	AdenoCa. mucinoso		
8480/6	Pseudomixoma peritoneal	Pseudomixoma peritoneal		
8481/3	Adenocarcinoma productor de mucina	"AdenoCa. productor, mucina"		
8481/6	"Adenocarcinoma productor de mucina, metástasis"	"AdenoCa. productor, mucina, metástasis"		
8482/3	"Adenocarcinoma mucinoso, tipo endocervical"	"AdenoCa. mucinoso, tipo endocervical"		
8482/6	"Adenocarcinoma mucinoso, tipo endocervical, metástasis"	"AdenoCa. mucinoso, tipo endocervical, metástasis"		
8490/3	Carcinoma de células en anillo de sello	"Carcinoma, cél. en anillo, sello"		
8490/6	Carcinoma metastásico de células en anillo de sello	"Ca. metastásico, cél. en anillo, sello"		
8500/2	"Carcinoma intraductal no infiltrante, SAI"	"Ca. intraductal no infiltrante, SAI"		
8500/3	"Carcinoma ductal infiltrante, SAI"	"Ca. ductal infiltrante, SAI"		
8500/6	"Carcinoma ductal infiltrante, SAI, metástasis"	"Ca. ductal infiltrante, SAI, metástasis"		
8501/2	Comedocarcinoma no infiltrante	ComedoCa. no infiltrante		
8501/3	"Comedocarcinoma, SAI"	"Comedocarcinoma, SAI"		
8501/6	"Comedocarcinoma, SAI, metástasis"	"Comedocarcinoma, SAI, metástasis"		
8502/3	Carcinoma juvenil de la mama	"Ca. juvenil, la mama"		
8502/6	"Carcinoma juvenil de la mama, metástasis"	"Ca. juvenil, la mama, metástasis"		
8503/0	Papiloma intraductal	Papiloma intraductal		
8503/2	Adenocarcinoma papilar intraductal no infiltrante	AdenoCa. papilar intraductal no infiltrante		
8503/3	Adenocarcinoma papilar intraductal con invasión	AdenoCa. papilar intraductal con invasión		
8503/6	"Adenocarcinoma papilar intraductal con invasión, metástasis"	"AdenoCa. papilar intraductal con invasión, metástasis"		
8504/0	Adenoma papilar intraquístico	Adenoma papilar intraquístico		
8504/2	Carcinoma intraquístico no infiltrante	Ca. intraquístico no infiltrante		
8504/3	"Carcinoma intraquístico, SAI"	"Ca. intraquístico, SAI"		
8504/6	"Carcinoma intraquístico, SAI, metástasis"	"Ca. intraquístico, SAI, metástasis"		
8505/0	"Papilomatosis intraductal, SAI"	"Papilomatosis intraductal, SAI"		
8506/0	Adenoma del pezón	"Adenoma, pezón"		
8507/2	Carcinoma micropapilar intraductal	Ca. micropapilar intraductal		
8508/3	Carcinoma hipersecretor quístico	Ca. hipersecretor quístico		
8508/6	"Carcinoma hipersecretor quístico, metástasis"	"Ca. hipersecretor quístico, metástasis"		
8510/3	"Carcinoma medular, SAI"	"Ca. medular, SAI"		
8510/6	"Carcinoma medular, SAI, metástasis"	"Ca. medular, SAI, metástasis"		
8512/3	Carcinoma medular con estroma linfoide	Ca. medular con estroma linfoide		
8512/6	"Carcinoma medular con estroma linfoide, metástasis"	"Ca. medular con estroma linfoide, metástasis"		
8513/3	Carcinoma medular atípico	Ca. medular atípico		
8513/6	"Carcinoma medular atípico, metástasis"	"Ca. medular atípico, metástasis"		
8514/3	"Carcinoma ductal, tipo desmoplásico"	"Ca. ductal, tipo desmoplásico"		
8514/6	"Carcinoma ductal, tipo desmoplásico, metástasis"	"Ca. ductal, tipo desmoplásico, metástasis"		
8520/2	"Carcinoma lobulillar in situ, SAI"	"Ca. lobulillar in situ, SAI"		
8520/3	"Carcinoma lobulillar, SAI"	"Ca. lobulillar, SAI"		
8520/6	"Carcinoma lobulillar, SAI, metástasis"	"Ca. lobulillar, SAI, metástasis"		
8521/3	"Carcinoma de los conductos terminales, infiltrante"	"Carcinoma, los conductos terminales, infiltrante"		
8521/6	"Carcinoma de los conductos terminales, infiltrante, metástasis"	"Carcinoma, los conductos terminales, infiltrante, metástasis"		
8522/2	Carcinoma intraductal y carcinoma lobulillar in situ	Ca. intraductal y Ca. lobulillar in situ		
8522/3	Carcinoma ductal y lobulillar infiltrante	Ca. ductal y lobulillar infiltrante		
8522/6	"Carcinoma ductal y lobulillar infiltrante, metástasis"	"Ca. ductal y lobulillar infiltrante, metástasis"		
8523/3	Carcinoma ductal infiltrante mezclado con otros tipos de carcinoma	"Ca. ductal infiltrante mezclado con otros tipos, carcinoma"		
8523/6	"Carcinoma ductal infiltrante mezclado con otros tipos de carcinoma, metástasis"	"Ca. ductal infiltrante mezclado con otros tipos, carcinoma, metástasis"		
8524/3	Carcinoma lobulillar infiltrante mezclado con otros tipos de carcinoma	"Ca. lobulillar infiltrante mezclado con otros tipos, carcinoma"		
8524/6	"Carcinoma lobulillar infiltrante mezclado con otros tipos de carcinoma, metástasis"	"Ca. lobulillar infiltrante con otros tipos carcinoma, metástasis"		
8525/3	Adenocarcinoma polimorfo de bajo grado	"AdenoCa. polimorfo, bajo grado"		
8525/6	"Adenocarcinoma polimorfo de bajo grado, metástasis"	"AdenoCa. polimorfo, bajo grado, metástasis"		
8530/3	Carcinoma inflamatorio	Ca. inflamatorio		
8530/6	"Carcinoma inflamatorio, metástasis"	"Ca. inflamatorio, metástasis"		
8540/3	"Enfermedad de Paget, mamaria"	"Enfermedad, Paget, mamaria"		
8540/6	"Enfermedad de Paget, mamaria, metástasis"	"Enfermedad, Paget, mamaria, metástasis"		
8541/3	Enfermedad de Paget y carcinoma ductal infiltrante de la mama	"Enfermedad, Paget y Ca. ductal infiltrante, la mama"		
8541/6	"Enfermedad de Paget y carcinoma ductal infiltrante de la mama, metástasis"	"Enfermedad, Paget y Ca. ductal infiltrante, la mama, metástasis"		
8542/3	Enfermedad de Paget extramamaria	"Enfermedad, Paget extramamaria"		
8542/6	"Enfermedad de Paget extramamaria, metástasis"	"Enfermedad, Paget extramamaria, metástasis"		
8543/3	Enfermedad de Paget y carcinoma intraductal de la mama	"Enfermedad, Paget y Ca. intraductal, la mama"		
8543/6	"Enfermedad de Paget y carcinoma intraductal de la mama, metástasis"	"Enfermedad, Paget y Ca. intraductal, la mama, metástasis"		
8550/0	Adenoma de células acinosas	"Adenoma, cél. acinosas"		
8550/1	Tumor de células acinosas	"Tumor, cél. acinosas"		
8550/3	Carcinoma de células acinosas	"Carcinoma, cél. acinosas"		
8550/6	"Carcinoma de células acinosas, metástasis"	"Carcinoma, cél. acinosas, metástasis"		
8551/3	Cistadenocarcinoma células acinares	CistadenoCa. cél. acinares		
8551/6	"Cistadenocarcinoma células acinares, metástasis"	"CistadenoCa. cél. acinares, metástasis"		
8552/3	Carcinoma acinar-ductal mixto	Ca. acinar-ductal mixto		
8552/6	"Carcinoma acinar-ductal mixto, metástasis"	"Ca. acinar-ductal mixto, metástasis"		
8560/0	Papiloma mixto de células escamosas y glandular	"Papiloma mixto, cél. escamosas y glandular"		
8560/3	Carcinoma adenoescamoso	Ca. adenoescamoso		
8560/6	"Carcinoma adenoescamoso, metástasis"	"Ca. adenoescamoso, metástasis"		
8561/0	Adenolinfoma	Adenolinfoma		
8562/3	Carcinoma epitelial-mioepitelial	Ca. epitelial-mioepitelial		
8562/6	"Carcinoma epitelial-mioepitelial, metástasis"	"Ca. epitelial-mioepitelial, metástasis"		
8570/3	Adenocarcinoma con metaplasia escamosa	AdenoCa. con metaplasia escamosa		
8570/6	"Adenocarcinoma con metaplasia escamosa, metástasis"	"AdenoCa. con metaplasia escamosa, metástasis"		
8571/3	Adenocarcinoma con metaplasia ósea y cartilaginosa	AdenoCa. con metaplasia ósea y cartilaginosa		
8571/6	"Adenocarcinoma con metaplasia ósea y cartilaginosa, metástasis"	"AdenoCa. con metaplasia ósea y cartilaginosa, metástasis"		
8572/3	Adenocarcinoma con metaplasia de células fusiformes	"AdenoCa. con metaplasia, cél. fusiformes"		
8572/6	"Adenocarcinoma con metaplasia de células fusiformes, metástasis"	"AdenoCa. con metaplasia, cél. fusiformes, metástasis"		
8573/3	Adenocarcinoma con metaplasia apocrina	AdenoCa. con metaplasia apocrina		
8573/6	"Adenocarcinoma con metaplasia apocrina, metástasis"	"AdenoCa. con metaplasia apocrina, metástasis"		
8574/3	Adenocarcinoma con diferenciación neuroendocrina	AdenoCa. con diferenciación neuroendocrina		
8574/6	"Adenocarcinoma con diferenciación neuroendocrina, metástasis"	"AdenoCa. con diferenciación neuroendocrina, metástasis"		
8575/3	"Carcinoma metaplásico, SAI"	"Ca. metaplásico, SAI"		
8575/6	"Carcinoma metaplásico, SAI, metástasis"	"Ca. metaplásico, SAI, metástasis"		
8576/3	Adenocarcinoma hepatoide	AdenoCa. hepatoide		
8576/6	"Adenocarcinoma hepatoide, metástasis"	"AdenoCa. hepatoide, metástasis"		
8580/0	Timoma benigno	Timoma benigno		
8580/1	"Timoma, SAI"	"Timoma, SAI"		
8580/3	"Timoma maligno, SAI"	"Timoma maligno, SAI"		
8580/6	"Timoma maligno, SAI, metástasis"	"Timoma maligno, SAI, metástasis"		
8581/1	"Timoma tipo A, SAI"	"Timoma tipo A, SAI"		
8581/3	Timoma tipo A maligno	Timoma tipo A maligno		
8581/6	"Timoma tipo A maligno, metástasis"	"Timoma tipo A maligno, metástasis"		
8582/1	"Timoma tipo AB, SAI"	"Timoma tipo AB, SAI"		
8582/3	Timoma tipo AB maligno	Timoma tipo AB maligno		
8582/6	"Timoma tipo AB maligno, metástasis"	"Timoma tipo AB maligno, metástasis"		
8583/1	"Timoma tipo B1, SAI"	"Timoma tipo B1, SAI"		
8583/3	Timoma tipo B1 maligno	Timoma tipo B1 maligno		
8583/6	"Timoma tipo B1 maligno, metástasis"	"Timoma tipo B1 maligno, metástasis"		
8584/1	"Timoma tipo B2, SAI"	"Timoma tipo B2, SAI"		
8584/3	Timoma tipo B2 maligno	Timoma tipo B2 maligno		
8584/6	"Timoma tipo B2 maligno, metástasis"	"Timoma tipo B2 maligno, metástasis"		
8585/1	"Timoma tipo B3, SAI"	"Timoma tipo B3, SAI"		
8585/3	"Timoma tipo B3, maligno"	"Timoma tipo B3, maligno"		
8585/6	"Timoma tipo B3, maligno, metástasis"	"Timoma tipo B3, maligno, metástasis"		
8586/3	"Carcinoma tímico, SAI"	"Ca. tímico, SAI"		
8586/6	"Carcinoma tímico, SAI, metástasis"	"Ca. tímico, SAI, metástasis"		
8587/0	Timoma hamartomatoso ectópico	Timoma hamartomatoso ectópico		
8588/3	Tumor epitelial fusiforme con elemento de tipo tímico	"Tum. epitelial fusiforme con elemento, tipo tímico"		
8588/6	"Tumor epitelial fusiforme con elemento de tipo tímico, metástasis"	"Tum. epitelial fusiforme con elemento, tipo tímico, metástasis"		
8589/3	Carcinoma que muestra elemento de tipo tímico	"Ca. que muestra elemento, tipo tímico"		
8589/6	"Carcinoma que muestra elemento de tipo tímico, metástasis"	"Ca. que muestra elemento, tipo tímico, metástasis"		
8590/1	"Tumor de los cordones sexuales y del estroma gonadal, SAI"	"Tumor, los cordones sexuales y, estroma gonadal, SAI"		
